"COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","SERIES_NAME"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-683780169","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","-689471828","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","-393392890","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","-575258211","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","-590326712","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","-663320045","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","-603031883","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-707377345","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-624481194","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-436418228","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-364767473","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-555130454","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-561343761","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-497550254","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","-553028535","Millions","Trade balance goods, US dollar"
"United Arab Emirates","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-710801994","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","443179560","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","259210360","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","137670220","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","296164960","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","557796340","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","543736640","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","496479700","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","986520","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","557255420","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","869406740","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","1037803580","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","1636924140","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","420225840","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","1703727280","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","1588141760","Millions","Trade balance goods, US dollar"
"Mexico","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","1502559140","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","289694163","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","239500000","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","220498377","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","93075796","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","138028952","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","57890354","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","201797448","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-47961880","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-110491996","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-80016629","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-74941079","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-622384304","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-770178526","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-773859625","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","-813895935","Millions","Trade balance goods, US dollar"
"India","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-551868269","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","520910179","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","678742502","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","519384319","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","472193055","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","352905723","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","-496691644","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","-475449120","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","503319073","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","437753826","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","237683977","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","653224705","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","864884915","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","622525659","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","625946423","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","858190695","Millions","Trade balance goods, US dollar"
"Brazil","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","1258751311","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","1585450657","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","1931110243","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","1389713853","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","1713870181","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","1863405830","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","1800066315","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","1754694331","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","1644012060","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","2007210656","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","2403869024","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","2199787148","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","1977749334","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","1692379603","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","2537457083","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","2171027560","Millions","Trade balance goods, US dollar"
"Germany","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","2010028421","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","401940883","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","-130859642","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","351093805","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","165654564","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","253392322","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","284582471","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","-1981635234","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-794665347","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-967885726","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-526949683","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-371586209","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-378806181","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-1786053617","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-815127474","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","277340607","Millions","Trade balance goods, US dollar"
"Switzerland","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-1536423189","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-193951730","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","-208019671","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","-218302533","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","-116040281","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","-239126176","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","-178445681","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","-547013459","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-235167910","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-269050921","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-236997145","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-200018018","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-226193236","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-494381570","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-718302724","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","-148019390","Millions","Trade balance goods, US dollar"
"Singapore","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-304110791","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","4117121160","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","3804807280","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","7091610090","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","6393046860","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","6457882980","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","6627806710","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","1678691890","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-3389919850","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-2397918","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","1199864318","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","1209597160","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-817520163","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-1373957496","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","1653076952","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","1832241377","Millions","Trade balance goods, US dollar"
"China, People's Republic of","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-2289702340","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","473073633","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","350501756","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","47723308","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","-149332073","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","130361130","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","-257391710","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","-343308471","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-219445226","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-142754481","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-29189578","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","282728901","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","217695755","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","156833783","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","2706632","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","200657939","Millions","Trade balance goods, US dollar"
"Belgium","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","100580834","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-277576934","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","20004261","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","109086890","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","-107954259","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","140446461","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","140093607","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","62698811","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-534370287","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-515728549","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-506491791","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-126569085","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-693726111","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-720553245","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-98487883","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","-162140832","Millions","Trade balance goods, US dollar"
"Netherlands, The","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-636257488","Millions","Trade balance goods, US dollar"
